"sample_id","subject","group_arm","timepoint","group_id","ME"
"S03_T1","HR_S03","HR","T1","blue",0.0191900314803324
"S10_T1","HR_S10","HR","T1","blue",-0.199880885285288
"S16_T1","HR_S16","HR","T1","blue",-0.040664383923108
"S22_T1","HR_S22","HR","T1","blue",0.0823710582032984
"S24_T1","HR_S24","HR","T1","blue",-0.218299397322453
"S27_T1","HR_S27","HR","T1","blue",0.0304806940497026
"S28_T1","HR_S28","HR","T1","blue",-4.24600675799636e-17
"S04_T1","LR_S04","LR","T1","blue",0.0323321702095827
"S05_T1","LR_S05","LR","T1","blue",-0.00903564059354327
"S06_T1","LR_S06","LR","T1","blue",0.0753749074515741
"S12_T1","LR_S12","LR","T1","blue",-0.0452104143663288
"S14_T1","LR_S14","LR","T1","blue",-0.195695147966316
"S17_T1","LR_S17","LR","T1","blue",0.0261333727211146
"S21_T1","LR_S21","LR","T1","blue",-0.0315608377477477
"S30_T1","LR_S30","LR","T1","blue",0.0261801014823901
"S03_T2","HR_S03","HR","T2","blue",-0.208211331351735
"S10_T2","HR_S10","HR","T2","blue",-0.221568342336185
"S16_T2","HR_S16","HR","T2","blue",0.00616739601226237
"S22_T2","HR_S22","HR","T2","blue",-0.166347833740967
"S24_T2","HR_S24","HR","T2","blue",-0.352527047911664
"S27_T2","HR_S27","HR","T2","blue",-0.103376539264966
"S29_T2","HR_S29","HR","T2","blue",-0.0347836025297194
"S04_T2","LR_S04","LR","T2","blue",0.0548803932541197
"S05_T2","LR_S05","LR","T2","blue",0.0173573805496153
"S06_T2","LR_S06","LR","T2","blue",-0.0345983127879686
"S12_T2","LR_S12","LR","T2","blue",0.00420607585758091
"S14_T2","LR_S14","LR","T2","blue",0.0799177810961112
"S17_T2","LR_S17","LR","T2","blue",0.0229656003165886
"S21_T2","LR_S21","LR","T2","blue",0.03077391098576
"S30_T2","LR_S30","LR","T2","blue",0.0274900574021453
"S03_T3","HR_S03","HR","T3","blue",0.189021299871403
"S10_T3","HR_S10","HR","T3","blue",0.421449227621473
"S16_T3","HR_S16","HR","T3","blue",0.0344969879108458
"S22_T3","HR_S22","HR","T3","blue",0.0839767755376679
"S24_T3","HR_S24","HR","T3","blue",0.570826445234117
"S27_T3","HR_S27","HR","T3","blue",0.0728958452152634
"S29_T3","HR_S29","HR","T3","blue",0.0347836025297195
"S04_T3","LR_S04","LR","T3","blue",-0.0872125634637024
"S05_T3","LR_S05","LR","T3","blue",-0.00832173995607178
"S06_T3","LR_S06","LR","T3","blue",-0.0407765946636059
"S12_T3","LR_S12","LR","T3","blue",0.0410043385087478
"S14_T3","LR_S14","LR","T3","blue",0.115777366870205
"S17_T3","LR_S17","LR","T3","blue",-0.0490989730377034
